NET	The total number of nets: 3153
	0,54,41
	0,56,40
	0,58,44
	0,57,40
	0,58,45
	0,56,44
net158	The number of pins: 33
	0,39,32
	0,40,33
	0,56,35
	0,55,36
	0,57,40
	0,56,38
	0,56,38
	0,56,39
	0,58,43
	0,57,38
	0,56,37
	0,55,38
	0,56,39
	0,55,39
	0,56,37
	0,57,37
	0,53,42
	0,49,38
	0,57,38
	0,56,38
	0,44,32
	0,57,44
	0,53,43
	0,41,33
	0,54,42
	0,57,42
	0,56,42
	0,58,44
	0,53,43
	0,44,35
	0,56,41
	0,58,44
	0,45,33
net159	The number of pins: 33
	0,15,34
	0,15,34
	0,17,35
	0,20,38
	0,20,43
	0,17,49
	0,1,48
	0,3,50
	0,2,48
	0,0,50
	0,0,50
	0,2,50
	0,2,48
	0,1,48
	0,1,49
	0,0,50
	0,1,50
	0,3,48
	0,1,50
	0,2,50
	0,0,49
	0,1,50
	0,1,49
	0,0,48
	0,18,46
	0,1,50
	0,0,49
	0,9,48
	0,2,49
	0,17,48
	0,16,48
	0,13,48
	0,8,51
net160	The number of pins: 33
	0,18,41
	0,19,38
	0,19,44
	0,17,47
	0,19,47
	0,16,52
	0,16,52
	0,16,56
	0,18,58
	0,18,59
	0,19,66
	0,22,65
	0,18,65
	0,19,65
	0,20,65
	0,19,65
	0,20,66
	0,19,66
	0,20,65
	0,20,66
	0,20,66
	0,19,66
	0,19,65
	0,19,65
	0,19,64
	0,20,66
	0,21,65
	0,21,65
	0,21,65
	0,21,65
	0,20,63
	0,20,62
	0,23,65
net161	The number of pins: 33
	0,14,19
	0,13,19
	0,15,18
	0,12,23
	0,15,17
	0,14,18
	0,15,18
	0,14,19
	0,13,21
	0,10,22
	0,10,21
	0,11,22
	0,15,17
	0,15,18
	0,14,18
	0,13,18
	0,11,21
	0,11,19
	0,17,18
	0,31,17
	0,10,20
	0,13,19
	0,11,19
	0,11,22
	0,12,19
	0,14,17
	0,10,22
	0,10,22
	0,32,20
	0,32,23
	0,20,25
	0,12,24
	0,31,25
net162	The number of pins: 33
	0,26,14
	0,26,19
	0,6,19
	0,12,15
	0,4,16
	0,6,16
	0,5,15
	0,5,18
	0,6,15
	0,4,15
	0,5,13
	0,5,15
	0,5,13
	0,5,17
	0,5,14
	0,4,14
	0,5,15
	0,5,15
	0,5,14
	0,25,19
	0,4,16
	0,5,15
	0,5,16
	0,6,15
	0,4,17
	0,4,25
	0,4,25
	0,4,25
	0,4,25
	0,3,24
	0,4,26
	0,7,28
	0,22,31
net163	The number of pins: 33
	0,55,12
	0,55,10
	0,55,13
	0,53,11
	0,53,11
	0,53,12
	0,51,11
	0,52,12
	0,54,12
	0,56,17
	0,48,15
	0,41,17
	0,55,21
	0,38,17
	0,40,17
	0,56,10
	0,55,11
	0,54,11
	0,56,10
	0,57,10
	0,54,12
	0,55,12
	0,54,11
	0,55,10
	0,44,15
	0,55,15
	0,54,12
	0,56,13
	0,52,12
	0,54,20
	0,49,17
	0,54,21
	0,38,21
net164	The number of pins: 33
	0,54,10
	0,54,10
	0,52,11
	0,46,17
	0,54,11
	0,36,17
	0,36,18
	0,58,13
	0,56,12
	0,57,12
	0,56,12
	0,57,12
	0,58,12
	0,56,12
	0,57,12
	0,58,14
	0,59,13
	0,57,12
	0,44,18
	0,58,14
	0,58,12
	0,58,13
	0,57,13
	0,41,21
	0,55,12
	0,47,13
	0,53,14
	0,55,16
	0,46,13
	0,56,13
	0,55,18
	0,37,21
	0,58,21
net165	The number of pins: 33
	0,41,40
	0,34,42
	0,35,42
	0,41,42
	0,37,45
	0,43,40
	0,44,43
	0,39,54
	0,42,50
	0,42,52
	0,41,52
	0,43,57
	0,40,54
	0,35,46
	0,35,48
	0,42,57
	0,38,54
	0,39,54
	0,43,52
	0,43,57
	0,37,57
	0,39,57
	0,43,51
	0,44,57
	0,34,55
	0,42,57
	0,41,57
	0,40,55
	0,41,55
	0,36,57
	0,44,57
	0,44,57
	0,41,58
net166	The number of pins: 33
	0,21,27
	0,10,30
	0,10,28
	0,7,28
	0,7,28
	0,5,30
	0,6,32
	0,5,32
	0,21,28
	0,6,31
	0,7,31
	0,3,35
	0,7,31
	0,9,28
	0,3,35
	0,4,37
	0,4,34
	0,6,32
	0,4,34
	0,3,36
	0,26,28
	0,9,31
	0,4,31
	0,7,37
	0,6,32
	0,5,37
	0,5,37
	0,9,38
	0,7,37
	0,8,38
	0,26,31
	0,4,36
	0,25,36
net167	The number of pins: 33
	0,61,50
	0,61,47
	0,52,44
	0,48,44
	0,60,46
	0,61,48
	0,60,48
	0,53,44
	0,52,44
	0,60,48
	0,61,46
	0,60,50
	0,59,48
	0,55,47
	0,59,48
	0,58,45
	0,62,47
	0,48,42
	0,39,44
	0,39,42
	0,58,45
	0,54,45
	0,41,45
	0,51,43
	0,43,42
	0,41,42
	0,58,48
	0,54,47
	0,60,45
	0,58,47
	0,57,47
	0,46,44
	0,45,46
net168	The number of pins: 33
	0,25,27
	0,9,29
	0,10,29
	0,10,28
	0,21,27
	0,9,27
	0,8,32
	0,8,32
	0,13,28
	0,7,32
	0,6,32
	0,5,34
	0,6,31
	0,7,31
	0,4,33
	0,7,31
	0,9,28
	0,5,32
	0,23,27
	0,4,34
	0,7,32
	0,4,34
	0,10,31
	0,4,32
	0,5,32
	0,6,32
	0,6,34
	0,5,29
	0,4,32
	0,6,30
	0,6,31
	0,25,32
	0,25,32
net169	The number of pins: 33
	0,12,18
	0,12,19
	0,17,17
	0,17,21
	0,13,21
	0,10,19
	0,8,20
	0,15,21
	0,12,18
	0,10,19
	0,14,18
	0,16,18
	0,13,17
	0,8,18
	0,15,18
	0,11,19
	0,14,18
	0,12,18
	0,9,19
	0,8,19
	0,8,18
	0,10,20
	0,8,21
	0,9,21
	0,9,21
	0,8,21
	0,8,21
	0,8,22
	0,33,19
	0,30,18
	0,33,21
	0,34,22
	0,22,22
net170	The number of pins: 33
	0,39,4
	0,39,3
	0,39,3
	0,37,2
	0,39,3
	0,38,3
	0,37,2
	0,38,3
	0,37,3
	0,39,4
	0,37,3
	0,37,3
	0,39,2
	0,38,4
	0,38,3
	0,38,2
	0,41,18
	0,37,4
	0,38,4
	0,37,5
	0,37,5
	0,39,15
	0,41,17
	0,19,22
	0,39,11
	0,41,17
	0,40,17
	0,36,17
	0,39,15
	0,41,21
	0,19,17
	0,34,17
	0,27,22
net171	The number of pins: 33
	0,13,18
	0,12,19
	0,10,19
	0,8,20
	0,17,18
	0,18,20
	0,13,17
	0,8,18
	0,15,16
	0,18,18
	0,9,19
	0,8,19
	0,10,20
	0,9,19
	0,10,21
	0,11,19
	0,8,18
	0,10,20
	0,10,19
	0,10,21
	0,9,18
	0,15,17
	0,18,16
	0,16,21
	0,12,19
	0,8,18
	0,9,18
	0,34,22
	0,33,20
	0,21,24
	0,34,23
	0,33,23
	0,35,24
net172	The number of pins: 33
	0,21,8
	0,21,7
	0,21,6
	0,23,4
	0,22,5
	0,21,6
	0,21,5
	0,23,5
	0,26,4
	0,25,5
	0,25,4
	0,26,5
	0,19,9
	0,19,8
	0,19,7
	0,24,4
	0,22,4
	0,21,7
	0,20,7
	0,20,9
	0,22,7
	0,24,5
	0,19,7
	0,22,8
	0,20,9
	0,20,9
	0,21,15
	0,28,13
	0,26,17
	0,21,10
	0,26,16
	0,27,14
	0,22,17
net173	The number of pins: 33
	0,57,33
	0,56,32
	0,53,34
	0,39,28
	0,57,33
	0,57,34
	0,40,30
	0,56,34
	0,57,36
	0,56,34
	0,58,34
	0,56,35
	0,57,35
	0,51,34
	0,56,33
	0,55,35
	0,57,34
	0,57,35
	0,51,38
	0,48,38
	0,54,35
	0,48,39
	0,39,36
	0,39,36
	0,54,41
	0,54,42
	0,57,41
	0,55,41
	0,58,41
	0,56,41
	0,59,40
	0,59,42
	0,58,42
net174	The number of pins: 33
	0,14,33
	0,5,36
	0,0,41
	0,0,39
	0,1,40
	0,14,36
	0,1,39
	0,4,39
	0,1,39
	0,1,41
	0,1,39
	0,2,39
	0,9,35
	0,0,40
	0,2,41
	0,1,41
	0,0,39
	0,0,40
	0,10,35
	0,2,39
	0,1,40
	0,2,40
	0,12,34
	0,12,38
	0,13,41
	0,13,45
	0,2,47
	0,16,45
	0,9,46
	0,15,45
	0,11,48
	0,10,47
	0,9,47
net175	The number of pins: 33
	0,16,9
	0,14,3
	0,13,3
	0,25,7
	0,20,9
	0,19,9
	0,14,2
	0,13,3
	0,14,3
	0,14,4
	0,25,7
	0,16,8
	0,14,6
	0,13,2
	0,13,3
	0,13,4
	0,14,2
	0,14,3
	0,14,3
	0,13,3
	0,17,15
	0,26,10
	0,24,13
	0,23,15
	0,22,16
	0,21,16
	0,17,20
	0,16,22
	0,14,24
	0,14,22
	0,15,21
	0,26,22
	0,20,23
net176	The number of pins: 33
	0,32,42
	0,25,40
	0,32,41
	0,26,42
	0,27,47
	0,33,48
	0,28,49
	0,27,51
	0,29,54
	0,30,55
	0,30,55
	0,27,60
	0,29,59
	0,28,60
	0,28,60
	0,29,58
	0,28,60
	0,34,48
	0,28,61
	0,28,60
	0,28,61
	0,30,60
	0,29,61
	0,29,60
	0,27,60
	0,30,60
	0,28,59
	0,30,61
	0,31,60
	0,29,60
	0,29,60
	0,28,61
	0,30,60
net177	The number of pins: 33
	0,12,38
	0,14,39
	0,6,55
	0,8,59
	0,9,60
	0,7,59
	0,9,60
	0,7,60
	0,8,60
	0,8,60
	0,8,60
	0,7,60
	0,8,61
	0,8,59
	0,8,59
	0,12,46
	0,7,61
	0,8,59
	0,8,61
	0,8,60
	0,9,61
	0,9,59
	0,10,56
	0,9,60
	0,10,57
	0,14,59
	0,9,56
	0,12,48
	0,13,56
	0,8,56
	0,13,47
	0,9,48
	0,13,50
net178	The number of pins: 33
	0,46,34
	0,41,33
	0,42,35
	0,44,38
	0,44,36
	0,42,39
	0,49,38
	0,54,44
	0,53,39
	0,53,41
	0,55,49
	0,56,47
	0,56,46
	0,56,46
	0,54,46
	0,55,47
	0,56,48
	0,53,37
	0,55,46
	0,53,47
	0,54,46
	0,47,48
	0,55,47
	0,54,45
	0,52,47
	0,54,44
	0,54,44
	0,52,47
	0,48,48
	0,54,49
	0,53,41
	0,56,45
	0,54,45
net179	The number of pins: 33
	0,62,41
	0,63,40
	0,52,38
	0,51,38
	0,61,41
	0,62,41
	0,61,40
	0,61,41
	0,52,39
	0,56,39
	0,63,41
	0,63,41
	0,60,41
	0,61,39
	0,64,40
	0,63,41
	0,44,38
	0,63,42
	0,62,41
	0,44,38
	0,43,38
	0,44,38
	0,58,39
	0,57,45
	0,55,44
	0,54,43
	0,61,44
	0,57,44
	0,44,36
	0,60,43
	0,62,42
	0,60,44
	0,59,44
net180	The number of pins: 33
	0,20,6
	0,23,6
	0,23,6
	0,18,8
	0,19,6
	0,18,6
	0,19,6
	0,20,6
	0,22,6
	0,19,7
	0,18,4
	0,19,6
	0,19,6
	0,19,5
	0,18,9
	0,18,6
	0,18,5
	0,19,4
	0,18,6
	0,18,7
	0,18,9
	0,18,8
	0,18,5
	0,19,5
	0,20,6
	0,21,15
	0,26,13
	0,25,14
	0,24,13
	0,21,18
	0,24,15
	0,22,16
	0,21,19
net181	The number of pins: 33
	0,50,42
	0,57,40
	0,55,44
	0,50,41
	0,61,41
	0,54,41
	0,58,43
	0,36,41
	0,36,42
	0,57,44
	0,55,45
	0,55,45
	0,62,44
	0,61,44
	0,59,43
	0,61,45
	0,60,45
	0,62,45
	0,39,44
	0,62,41
	0,61,44
	0,62,44
	0,61,45
	0,56,45
	0,63,44
	0,63,44
	0,62,45
	0,62,44
	0,62,45
	0,45,42
	0,42,43
	0,60,44
	0,45,41
net182	The number of pins: 33
	0,14,17
	0,18,17
	0,16,17
	0,17,12
	0,16,14
	0,17,17
	0,16,12
	0,17,12
	0,17,12
	0,14,15
	0,15,17
	0,18,14
	0,17,13
	0,16,15
	0,15,18
	0,14,13
	0,18,12
	0,16,14
	0,16,12
	0,16,13
	0,17,12
	0,16,13
	0,15,14
	0,26,18
	0,24,17
	0,18,16
	0,27,24
	0,26,18
	0,18,23
	0,24,22
	0,28,22
	0,20,24
	0,14,22
net183	The number of pins: 33
	0,21,10
	0,10,15
	0,7,20
	0,12,15
	0,13,14
	0,8,15
	0,12,13
	0,11,12
	0,10,13
	0,12,13
	0,11,13
	0,13,15
	0,8,22
	0,10,24
	0,11,13
	0,10,26
	0,6,20
	0,8,23
	0,5,20
	0,16,23
	0,8,24
	0,8,24
	0,10,27
	0,16,26
	0,11,26
	0,9,28
	0,12,28
	0,10,29
	0,10,29
	0,8,30
	0,8,29
	0,8,28
	0,9,28
net184	The number of pins: 33
	0,27,6
	0,26,7
	0,26,5
	0,25,4
	0,24,5
	0,24,4
	0,25,5
	0,28,4
	0,26,4
	0,27,4
	0,26,4
	0,25,4
	0,27,6
	0,27,7
	0,25,6
	0,28,5
	0,27,6
	0,26,6
	0,27,4
	0,28,6
	0,25,7
	0,27,5
	0,25,6
	0,27,7
	0,26,7
	0,24,7
	0,28,7
	0,27,12
	0,25,10
	0,27,13
	0,25,14
	0,28,13
	0,23,15
net185	The number of pins: 33
	0,26,6
	0,21,6
	0,20,7
	0,20,5
	0,18,7
	0,19,6
	0,18,6
	0,19,6
	0,20,6
	0,24,6
	0,24,6
	0,18,7
	0,25,7
	0,18,4
	0,19,6
	0,19,6
	0,19,5
	0,18,6
	0,18,5
	0,18,4
	0,18,6
	0,18,5
	0,19,5
	0,17,8
	0,18,7
	0,25,8
	0,26,13
	0,26,14
	0,25,10
	0,24,14
	0,21,18
	0,24,18
	0,21,19
net186	The number of pins: 33
	0,22,7
	0,28,6
	0,24,5
	0,27,7
	0,25,6
	0,24,6
	0,22,8
	0,28,5
	0,27,6
	0,26,6
	0,23,6
	0,23,6
	0,28,6
	0,24,6
	0,24,6
	0,23,9
	0,27,5
	0,25,7
	0,22,7
	0,23,7
	0,23,7
	0,24,7
	0,27,7
	0,26,9
	0,22,9
	0,26,6
	0,20,13
	0,25,13
	0,27,13
	0,27,13
	0,26,14
	0,27,15
	0,20,14
net187	The number of pins: 32
	0,29,25
	0,37,25
	0,24,30
	0,38,31
	0,39,33
	0,43,40
	0,22,42
	0,42,40
	0,42,40
	0,22,42
	0,44,25
	0,39,39
	0,42,27
	0,41,38
	0,44,25
	0,44,27
	0,40,39
	0,43,28
	0,44,26
	0,45,24
	0,43,27
	0,42,28
	0,42,27
	0,44,29
	0,43,33
	0,45,25
	0,44,25
	0,40,30
	0,44,28
	0,44,31
	0,46,24
	0,45,30
net188	The number of pins: 32
	0,42,31
	0,35,30
	0,39,30
	0,26,39
	0,33,39
	0,25,46
	0,45,33
	0,36,32
	0,26,46
	0,33,39
	0,44,27
	0,39,39
	0,42,28
	0,42,27
	0,40,39
	0,43,27
	0,45,31
	0,46,28
	0,46,25
	0,46,30
	0,47,27
	0,47,26
	0,46,27
	0,45,26
	0,45,27
	0,45,27
	0,46,30
	0,46,29
	0,44,28
	0,45,28
	0,46,30
	0,44,27
net189	The number of pins: 32
	0,29,45
	0,27,45
	0,31,46
	0,46,51
	0,26,48
	0,29,50
	0,25,50
	0,18,54
	0,47,53
	0,20,56
	0,45,56
	0,47,57
	0,45,56
	0,18,57
	0,47,55
	0,18,57
	0,43,65
	0,43,63
	0,44,65
	0,42,65
	0,42,64
	0,43,64
	0,42,63
	0,43,63
	0,44,64
	0,43,65
	0,43,63
	0,44,63
	0,44,64
	0,44,63
	0,43,63
	0,43,64
net190	The number of pins: 32
	0,41,30
	0,26,33
	0,39,33
	0,26,39
	0,43,35
	0,43,40
	0,26,46
	0,28,48
	0,40,39
	0,43,33
	0,40,30
	0,39,46
	0,26,46
	0,44,31
	0,45,30
	0,44,31
	0,38,48
	0,42,28
	0,43,32
	0,46,35
	0,46,35
	0,46,31
	0,43,31
	0,47,30
	0,44,32
	0,45,36
	0,44,33
	0,41,31
	0,45,30
	0,47,30
	0,44,31
	0,45,34
net191	The number of pins: 32
	0,39,30
	0,41,30
	0,38,37
	0,39,36
	0,44,36
	0,44,34
	0,39,39
	0,46,34
	0,46,29
	0,43,28
	0,44,31
	0,41,38
	0,46,30
	0,44,28
	0,45,31
	0,46,32
	0,43,32
	0,46,35
	0,46,35
	0,46,31
	0,48,30
	0,45,29
	0,44,32
	0,45,36
	0,44,33
	0,45,28
	0,47,29
	0,44,28
	0,45,30
	0,47,30
	0,44,31
	0,45,34
net192	The number of pins: 32
	0,12,25
	0,9,22
	0,6,24
	0,4,22
	0,3,23
	0,6,23
	0,5,22
	0,4,24
	0,4,25
	0,5,23
	0,4,23
	0,5,23
	0,3,22
	0,5,24
	0,5,24
	0,4,22
	0,3,24
	0,3,22
	0,5,23
	0,2,23
	0,3,23
	0,2,24
	0,2,25
	0,2,22
	0,2,22
	0,2,24
	0,7,27
	0,18,25
	0,30,25
	0,24,26
	0,29,26
	0,32,27
net193	The number of pins: 32
	0,53,10
	0,54,9
	0,53,9
	0,54,9
	0,53,9
	0,54,9
	0,48,15
	0,56,9
	0,55,9
	0,53,8
	0,56,9
	0,47,11
	0,53,9
	0,55,8
	0,53,9
	0,55,9
	0,55,9
	0,54,8
	0,54,8
	0,40,17
	0,43,14
	0,37,18
	0,28,19
	0,31,19
	0,28,18
	0,27,20
	0,54,9
	0,52,12
	0,45,14
	0,54,12
	0,51,13
	0,51,16
net194	The number of pins: 32
	0,44,33
	0,32,38
	0,43,35
	0,44,36
	0,46,29
	0,44,29
	0,43,33
	0,43,28
	0,37,31
	0,46,29
	0,47,27
	0,46,27
	0,33,33
	0,33,36
	0,45,28
	0,46,30
	0,45,29
	0,47,32
	0,45,26
	0,44,31
	0,47,30
	0,47,29
	0,45,28
	0,47,31
	0,41,32
	0,45,27
	0,47,30
	0,47,31
	0,45,28
	0,45,26
	0,44,30
	0,46,26
net195	The number of pins: 32
	0,27,44
	0,26,44
	0,29,45
	0,37,46
	0,38,49
	0,32,49
	0,39,51
	0,34,51
	0,29,51
	0,34,54
	0,32,53
	0,39,55
	0,37,56
	0,37,56
	0,35,56
	0,38,58
	0,34,57
	0,34,56
	0,35,57
	0,37,57
	0,39,58
	0,38,58
	0,35,58
	0,36,58
	0,39,59
	0,37,58
	0,38,58
	0,37,59
	0,36,57
	0,39,58
	0,38,58
	0,36,58
net196	The number of pins: 32
	0,41,37
	0,38,37
	0,36,37
	0,39,36
	0,28,39
	0,41,43
	0,42,48
	0,26,52
	0,42,55
	0,41,51
	0,43,55
	0,43,50
	0,41,52
	0,43,49
	0,42,51
	0,42,40
	0,41,52
	0,30,56
	0,44,34
	0,40,54
	0,42,53
	0,40,52
	0,41,53
	0,37,55
	0,42,50
	0,41,51
	0,42,53
	0,42,53
	0,40,56
	0,41,55
	0,41,55
	0,41,53
net197	The number of pins: 32
	0,10,24
	0,12,24
	0,11,24
	0,11,24
	0,13,24
	0,12,22
	0,10,23
	0,15,24
	0,10,23
	0,11,22
	0,9,21
	0,10,19
	0,9,19
	0,9,22
	0,10,21
	0,11,19
	0,9,20
	0,10,19
	0,12,19
	0,11,22
	0,13,19
	0,12,21
	0,12,20
	0,9,20
	0,9,21
	0,33,20
	0,17,24
	0,33,23
	0,21,24
	0,12,24
	0,31,26
	0,33,25
net198	The number of pins: 32
	0,21,15
	0,17,10
	0,16,10
	0,14,14
	0,18,12
	0,17,9
	0,17,9
	0,14,15
	0,16,12
	0,15,15
	0,15,11
	0,17,10
	0,18,14
	0,17,12
	0,15,15
	0,16,13
	0,15,16
	0,17,11
	0,15,13
	0,15,12
	0,15,11
	0,15,11
	0,15,12
	0,16,11
	0,16,12
	0,15,12
	0,25,14
	0,25,13
	0,21,23
	0,15,25
	0,24,23
	0,26,26
net199	The number of pins: 32
	0,18,38
	0,21,38
	0,21,38
	0,20,43
	0,1,51
	0,2,51
	0,17,43
	0,21,41
	0,2,51
	0,1,51
	0,2,51
	0,3,49
	0,0,51
	0,0,52
	0,0,51
	0,4,51
	0,2,50
	0,0,51
	0,0,52
	0,20,47
	0,0,51
	0,1,52
	0,1,51
	0,1,51
	0,2,52
	0,0,53
	0,1,53
	0,0,53
	0,17,50
	0,17,51
	0,8,51
	0,1,53
net200	The number of pins: 32
	0,8,23
	0,8,22
	0,7,23
	0,8,24
	0,7,22
	0,7,24
	0,7,25
	0,7,24
	0,6,33
	0,7,26
	0,8,24
	0,7,32
	0,9,27
	0,7,24
	0,9,33
	0,7,26
	0,7,23
	0,9,31
	0,11,27
	0,8,27
	0,7,30
	0,8,31
	0,9,31
	0,9,32
	0,8,32
	0,21,27
	0,9,27
	0,15,29
	0,19,30
	0,19,31
	0,17,34
	0,21,36
net201	The number of pins: 32
	0,20,38
	0,17,40
	0,18,42
	0,18,44
	0,18,44
	0,1,55
	0,2,54
	0,0,55
	0,0,54
	0,0,54
	0,3,54
	0,15,54
	0,10,53
	0,1,53
	0,0,53
	0,1,54
	0,0,54
	0,16,54
	0,13,56
	0,1,54
	0,1,53
	0,1,56
	0,1,55
	0,2,54
	0,4,53
	0,5,53
	0,1,54
	0,1,54
	0,0,54
	0,0,55
	0,4,54
	0,2,55
net202	The number of pins: 32
	0,18,38
	0,19,38
	0,16,38
	0,0,48
	0,0,46
	0,1,47
	0,2,45
	0,0,48
	0,0,45
	0,1,47
	0,2,46
	0,3,45
	0,1,46
	0,2,47
	0,0,47
	0,1,45
	0,2,47
	0,0,47
	0,0,47
	0,22,41
	0,7,42
	0,7,47
	0,0,46
	0,0,45
	0,1,46
	0,1,47
	0,1,47
	0,13,43
	0,7,42
	0,3,47
	0,16,42
	0,11,50
net203	The number of pins: 32
	0,11,37
	0,6,37
	0,6,38
	0,5,42
	0,14,37
	0,7,40
	0,7,39
	0,5,39
	0,7,40
	0,6,40
	0,9,39
	0,6,39
	0,7,38
	0,23,39
	0,21,39
	0,9,39
	0,8,38
	0,7,39
	0,8,37
	0,8,37
	0,23,40
	0,19,41
	0,5,42
	0,6,42
	0,14,45
	0,7,43
	0,13,47
	0,19,45
	0,13,49
	0,23,44
	0,23,48
	0,19,42
net204	The number of pins: 32
	0,26,5
	0,19,9
	0,19,8
	0,20,7
	0,20,8
	0,27,4
	0,27,4
	0,27,4
	0,25,4
	0,20,8
	0,20,9
	0,25,6
	0,24,6
	0,21,6
	0,20,6
	0,20,7
	0,19,7
	0,20,5
	0,25,7
	0,25,6
	0,24,7
	0,20,6
	0,19,10
	0,20,10
	0,19,10
	0,19,17
	0,27,13
	0,26,16
	0,26,18
	0,28,18
	0,18,16
	0,27,18
net205	The number of pins: 32
	0,14,19
	0,13,19
	0,15,18
	0,12,23
	0,15,17
	0,15,18
	0,16,18
	0,13,21
	0,17,15
	0,14,19
	0,13,21
	0,16,15
	0,16,17
	0,10,20
	0,15,16
	0,13,18
	0,11,21
	0,31,17
	0,13,20
	0,11,21
	0,11,22
	0,11,22
	0,18,18
	0,12,19
	0,16,17
	0,17,16
	0,11,23
	0,10,22
	0,33,20
	0,33,23
	0,31,24
	0,28,24
net206	The number of pins: 32
	0,10,34
	0,10,35
	0,13,36
	0,9,36
	0,13,34
	0,1,44
	0,2,44
	0,0,45
	0,1,45
	0,3,45
	0,1,44
	0,0,45
	0,2,46
	0,0,44
	0,1,44
	0,0,44
	0,2,45
	0,1,45
	0,1,45
	0,4,41
	0,0,44
	0,15,40
	0,14,44
	0,4,45
	0,0,44
	0,12,41
	0,13,44
	0,8,47
	0,15,42
	0,16,45
	0,9,46
	0,5,46
net207	The number of pins: 31
	0,23,9
	0,21,9
	0,18,9
	0,22,7
	0,23,7
	0,23,7
	0,24,7
	0,23,9
	0,26,7
	0,18,7
	0,18,9
	0,19,8
	0,26,9
	0,22,9
	0,22,9
	0,24,7
	0,18,8
	0,20,9
	0,19,10
	0,20,10
	0,15,9
	0,21,9
	0,21,9
	0,19,10
	0,19,9
	0,20,13
	0,29,13
	0,30,12
	0,28,18
	0,27,18
	0,14,31
net208	The number of pins: 31
	0,23,40
	0,21,40
	0,8,42
	0,8,41
	0,6,42
	0,6,46
	0,23,40
	0,17,47
	0,6,49
	0,13,47
	0,12,49
	0,7,49
	0,5,52
	0,4,50
	0,8,49
	0,5,49
	0,13,54
	0,8,54
	0,4,50
	0,7,50
	0,8,54
	0,8,53
	0,23,51
	0,13,54
	0,15,54
	0,6,53
	0,10,52
	0,8,54
	0,5,51
	0,26,52
	0,26,52
net209	The number of pins: 31
	0,43,36
	0,37,37
	0,34,37
	0,28,38
	0,26,39
	0,25,39
	0,39,37
	0,40,39
	0,42,55
	0,42,48
	0,41,54
	0,42,52
	0,40,53
	0,42,40
	0,40,55
	0,41,40
	0,41,54
	0,41,52
	0,40,54
	0,41,53
	0,40,52
	0,37,55
	0,31,55
	0,37,55
	0,42,50
	0,36,56
	0,41,51
	0,42,53
	0,42,53
	0,41,55
	0,41,53
net210	The number of pins: 31
	0,34,37
	0,38,37
	0,33,38
	0,34,40
	0,36,41
	0,29,53
	0,39,55
	0,31,53
	0,36,56
	0,37,57
	0,39,39
	0,29,57
	0,33,57
	0,33,57
	0,29,56
	0,30,56
	0,31,57
	0,32,58
	0,31,57
	0,35,57
	0,30,56
	0,33,58
	0,32,57
	0,34,57
	0,34,57
	0,34,58
	0,32,57
	0,34,57
	0,33,57
	0,34,58
	0,32,58
net211	The number of pins: 31
	0,25,43
	0,35,45
	0,39,48
	0,38,46
	0,39,49
	0,33,52
	0,34,54
	0,29,51
	0,29,53
	0,37,55
	0,36,56
	0,32,53
	0,38,48
	0,37,59
	0,33,58
	0,31,58
	0,33,59
	0,35,59
	0,31,58
	0,32,58
	0,32,58
	0,35,58
	0,36,57
	0,35,57
	0,36,59
	0,37,57
	0,36,57
	0,38,59
	0,38,60
	0,36,58
	0,35,60
net212	The number of pins: 31
	0,44,39
	0,33,41
	0,41,42
	0,31,41
	0,44,43
	0,39,55
	0,34,46
	0,39,55
	0,33,46
	0,42,52
	0,41,52
	0,43,57
	0,29,55
	0,42,57
	0,38,54
	0,31,55
	0,39,54
	0,43,52
	0,43,57
	0,39,57
	0,35,56
	0,30,54
	0,40,57
	0,43,51
	0,44,57
	0,38,57
	0,42,57
	0,41,57
	0,44,57
	0,44,57
	0,41,58
net213	The number of pins: 31
	0,13,5
	0,9,4
	0,8,5
	0,9,6
	0,17,9
	0,9,3
	0,9,3
	0,9,4
	0,9,4
	0,9,5
	0,8,4
	0,8,3
	0,9,4
	0,9,4
	0,9,6
	0,9,3
	0,9,5
	0,9,4
	0,8,4
	0,16,9
	0,13,11
	0,14,11
	0,15,10
	0,18,7
	0,14,10
	0,14,12
	0,9,20
	0,14,11
	0,26,10
	0,26,20
	0,17,22
net214	The number of pins: 31
	0,24,45
	0,21,45
	0,27,47
	0,33,48
	0,23,53
	0,21,53
	0,21,53
	0,24,55
	0,22,57
	0,24,58
	0,27,58
	0,24,58
	0,34,48
	0,26,60
	0,30,60
	0,26,60
	0,30,60
	0,30,61
	0,31,60
	0,30,60
	0,26,59
	0,29,60
	0,28,62
	0,30,60
	0,27,61
	0,25,60
	0,25,59
	0,27,61
	0,26,61
	0,26,61
	0,26,59
net215	The number of pins: 31
	0,22,43
	0,22,47
	0,25,44
	0,22,51
	0,21,53
	0,21,48
	0,29,54
	0,26,54
	0,30,56
	0,22,42
	0,31,55
	0,29,59
	0,28,60
	0,26,59
	0,25,58
	0,24,60
	0,28,61
	0,28,60
	0,28,61
	0,26,60
	0,25,60
	0,24,60
	0,29,61
	0,29,60
	0,27,60
	0,25,60
	0,24,59
	0,24,59
	0,26,59
	0,24,60
	0,24,60
net216	The number of pins: 31
	0,14,13
	0,13,12
	0,13,15
	0,14,12
	0,14,14
	0,13,15
	0,13,12
	0,14,14
	0,15,15
	0,15,13
	0,15,14
	0,14,13
	0,13,13
	0,13,13
